Source,Target
https://docs.gravitykit.com/article/256-gravity-forms-import-entries,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityimport/256-gravity-forms-import-entries.mdx
https://docs.gravitykit.com/article/398-how-to-calculate-the-sum-of-a-field-in-gravity-forms,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravitymath/398-how-to-calculate-the-sum-of-a-field-in-gravity-forms.mdx
https://docs.gravitykit.com/article/295-math-shortcode,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravitymath/295-math-shortcode.mdx
https://docs.gravitykit.com/article/257-formatting-guide-csv-import,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityimport/257-formatting-guide-csv-import.mdx
https://docs.gravitykit.com/article/416-quickly-edit-entries-in-gravity-forms,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityedit/416-quickly-edit-entries-in-gravity-forms.mdx
https://docs.gravitykit.com/article/371-calculations-in-gravityview,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravitymath/371-calculations-in-gravityview.mdx
https://docs.gravitykit.com/article/485-email-notify-entries-updated-gravity-forms,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityrevisions/485-email-notify-entries-updated-gravity-forms.mdx
https://docs.gravitykit.com/article/258-exporting-a-csv-from-excel,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityimport/258-exporting-a-csv-from-excel.mdx
https://docs.gravitykit.com/article/473-exporting-a-csv-from-google-sheets,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityimport/473-exporting-a-csv-from-google-sheets.mdx
https://docs.gravitykit.com/article/414-inline-edit-filters,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityedit/414-inline-edit-filters.mdx
https://docs.gravitykit.com/article/650-creating-a-calendar,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravitycalendar/650-creating-a-calendar.mdx
https://docs.gravitykit.com/article/483-entry-revisions-hooks,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityrevisions/483-entry-revisions-hooks.mdx
https://docs.gravitykit.com/article/651-displaying-a-calendar,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravitycalendar/651-displaying-a-calendar.mdx
https://docs.gravitykit.com/article/422-enable-inline-edit-for-gravityview,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityedit/422-enable-inline-edit-for-gravityview.mdx
https://docs.gravitykit.com/article/431-can-i-use-gvmath-with-gvlogic,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravitymath/431-can-i-use-gvmath-with-gvlogic.mdx
https://docs.gravitykit.com/article/625-skip-field-validation,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityimport/625-skip-field-validation.mdx
https://docs.gravitykit.com/article/502-inline-edit-gravity-forms-actions-on-update,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityedit/502-inline-edit-gravity-forms-actions-on-update.mdx
https://docs.gravitykit.com/article/396-formatting-dates-for-gravity-forms-in-microsoft-excel,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityimport/396-formatting-dates-for-gravity-forms-in-microsoft-excel.mdx
https://docs.gravitykit.com/article/418-inline-edit-enable-editing,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityedit/418-inline-edit-enable-editing.mdx
https://docs.gravitykit.com/article/278-allow-for-non-standard-imported-values-for-checkbox-fields,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityimport/278-allow-for-non-standard-imported-values-for-checkbox-fields.mdx
https://docs.gravitykit.com/article/580-how-to-target-a-specific-field-value-with-gvmath-filters,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravitymath/580-how-to-target-a-specific-field-value-with-gvmath-filters.mdx
https://docs.gravitykit.com/article/608-import-step-upload-csv,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityimport/608-import-step-upload-csv.mdx
https://docs.gravitykit.com/article/531-import-csv-to-gravity-forms-with-import-entries-2-0,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityimport/531-import-csv-to-gravity-forms-with-import-entries-2-0.mdx
https://docs.gravitykit.com/article/479-gravity-foms-revert-changes-to-entry,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityrevisions/479-gravity-foms-revert-changes-to-entry.mdx
https://docs.gravitykit.com/article/373-insert-calculations-into-post-content,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravitymath/373-insert-calculations-into-post-content.mdx
https://docs.gravitykit.com/article/615-exporting-and-importing-list-fields,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityimport/615-exporting-and-importing-list-fields.mdx
https://docs.gravitykit.com/article/260-how-to-trigger-notifications-for-imported-entries,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityimport/260-how-to-trigger-notifications-for-imported-entries.mdx
https://docs.gravitykit.com/article/403-sorry-this-file-type-is-not-permitted-for-security-reasons,https://beta.docs.gravitykit.com/gravityview/gravity-forms-add-ons/gravityimport/403-sorry-this-file-type-is-not-permitted-for-security-reasons.mdx
